frame,is_detected,pos_cx,pos_cy,pos_Z,vel_cx,vel_cy,vel_Z,P_diag_cx,P_diag_cy,P_diag_Z,P_diag_vcx,P_diag_vcy,P_diag_vZ
4,1,833.345,646.45,2.974594721939576,0.0,0.0,-0.005155954920159969,8.257637474541754,8.257637474541754,0.017198753253551555,124.89816700610999,124.89816700610999,199.88903127598752
5,1,822.3184555897383,630.8210088102579,2.769508778322578,-5.815773999993486,-8.243260737501753,-5.710332219423699,4.348768610532677,4.348768610532677,0.013260458307721316,148.76706743810567,148.76706743810567,124.64314246365589
6,1,813.9548632655554,611.4008251209548,2.6338687126003357,-18.511726412129597,-37.99566358934048,-4.3071092028768,3.073305702423333,3.073305702423333,0.00759455493902077,169.9183695480754,169.9183695480754,113.59575086929607
7,1,806.1464036639513,585.9343423433958,2.4514021101207093,-39.480220237750885,-108.55724835234042,-5.362013055201534,2.561465732794176,2.561465732794176,0.006588190645232335,186.25478891923143,186.25478891923143,110.46418779019305
8,0,804.830396322693,582.3157673983178,2.2726683416139917,-39.480220237750885,-108.55724835234042,-5.362013055201534,3.2663256229278073,3.2663256229278073,0.14123803580188207,211.25478891923143,211.25478891923143,210.46418779019305
9,1,794.3140404719866,524.730222592372,2.4193987523619507,-82.67706610948677,-361.9392671802731,0.23479808306747163,2.9610207696654927,2.9610207696654927,0.003429205323578216,204.25000586554614,204.25000586554614,124.44525452398125
10,1,784.9652259191234,467.0113572712609,2.618256117467189,-115.86075435463198,-591.7277772611722,5.753423042697299,2.8237672253044708,2.8237672253044708,0.005969865598690441,196.5439001648617,196.5439001648617,107.88860384295363
11,1,778.5283734145324,408.48068344337213,2.772669043905727,-129.26141536145556,-793.6953401928528,4.728038049290896,2.7642718884755895,2.7642718884755895,0.010340820981443918,188.35211925035617,188.35211925035617,112.25933117823388
12,0,774.2196595691506,382.0241721036104,2.9302703122154234,-129.26141536145556,-793.6953401928528,4.728038049290896,3.9326602209204067,3.9326602209204067,0.15399043035120635,213.35211925035617,213.35211925035617,212.25933117823388
13,1,772.0994317831787,315.12636878892386,2.695984230179727,-118.30327131393722,-996.1921763154807,-1.881276435448374,3.4319895903865376,3.4319895903865376,0.015911517628105932,185.31519547661188,185.31519547661188,129.5622873047836
14,1,771.53935452866,260.246889076423,2.7329853033297136,-101.77963754789877,-1102.038847207028,0.6917496415171245,3.123423224342558,3.123423224342558,0.008224574380465945,170.7192569821178,170.7192569821178,116.66891222954759
15,1,772.9536897136675,216.10368896624604,2.655550735133997,-78.5278881517809,-1137.8746331661234,-2.0196045340156217,2.9235052516120716,2.9235052516120716,0.00968823865012276,162.80989208926013,162.80989208926013,113.06883363428328
16,1,776.0293702919081,181.94664137237368,2.5934175575468728,-51.000587142527976,-1119.6362928749884,-1.8827415666558283,2.7917485298083706,2.7917485298083706,0.00764562159044812,158.46138935071335,158.46138935071335,112.04728485460063
